"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"영암군",3.16,3.21,4.84,1.62,4.94,6.65,8.36,13.32,16.63,16.67,18.62,18.69,20.64
"무안군",1.57,3.20,9.69,11.33,10.99,13.51,13.81,20.14,19.81,23.77,26.46,24.48,25.54
"함평군",9.50,9.95,12.44,10.35,10.53,26.72,29.66,38.15,33.21,39.13,42.12,37.05,40.14
"영광군",6.24,6.35,8.13,8.33,11.90,12.05,17.53,26.15,24.62,26.21,24.30,24.63,23.10
"장성군",7.77,7.97,8.14,10.44,12.66,17.17,12.98,12.90,12.97,12.96,15.12,15.13,17.26
"완도군",-,1.67,5.10,6.96,5.34,12.73,14.73,16.58,18.51,18.56,20.52,20.69,20.75
"진도군",-,-,-,-,-,5.81,5.89,11.85,11.94,15.06,15.15,15.27,15.40
"신안군",1.97,4.20,4.31,4.28,4.35,8.75,17.66,22.01,22.55,22.78,20.38,16.00,18.48
"경상북도",3.16,3.64,4.69,5.84,5.82,8.12,10.41,13.05,13.71,14.82,15.60,16.59,17.80
"포항시",1.38,1.77,1.77,2.38,3.56,4.92,4.32,5.44,5.61,5.97,6.16,7.12,8.08
"경주시",3.91,4.32,5.82,6.95,6.25,8.17,5.98,7.86,7.53,8.71,9.88,9.94,10.01
"김천시",4.66,5.57,6.35,8.59,7.19,12.31,11.04,13.96,13.95,16.24,17.74,19.93,23.55
"안동시",7.40,10.34,12.84,13.04,9.53,13.15,10.75,12.51,12.49,12.48,11.87,11.86,13.00
"구미시",0.84,0.82,0.80,1.29,1.28,1.78,3.53,7.41,8.47,9.11,7.39,10.71,11.19
"영주시",4.85,5.76,7.56,10.26,9.56,15.80,13.24,16.68,19.27,16.73,17.76,18.96,22.78
"영천시",5.34,5.48,6.52,7.62,6.62,9.61,6.79,8.72,8.64,9.82,12.90,12.91,13.91
"상주시",3.47,2.66,6.34,8.31,11.26,13.29,14.12,18.94,20.06,21.12,22.26,21.38,21.49
"문경시",1.23,1.26,2.56,6.56,9.36,11.92,10.44,15.51,18.25,19.76,22.47,25.03,25.07
"경산시",2.31,2.28,3.07,3.83,3.38,5.90,5.50,10.80,10.67,12.18,15.67,15.75,19.07
"군위군",3.36,3.47,3.61,7.49,11.64,11.85,16.02,20.21,20.60,20.73,20.69,20.69,20.72
"의성군",4.39,4.54,7.76,11.12,13.04,16.66,18.61,25.50,29.44,29.80,32.11,34.41,34.88
"청송군",-,-,3.41,7.03,7.18,10.99,14.86,22.46,26.35,22.66,22.67,22.68,22.74
"영양군",-,-,4.99,5.10,5.23,5.33,10.78,27.10,27.41,21.97,27.33,27.48,16.76
"영덕군",2.13,2.18,6.67,8.61,11.50,11.71,11.99,14.50,12.26,9.94,9.96,10.10,15.31
"청도군",1.99,2.10,2.14,6.50,4.39,11.18,13.55,18.02,20.32,29.57,29.69,27.28,27.44
"고령군",8.59,11.59,14.59,14.38,11.46,14.38,17.37,23.07,22.56,25.46,22.73,22.84,23.13
"성주군",10.28,10.48,10.65,12.94,15.32,17.77,13.15,17.66,21.91,22.16,22.19,22.23,22.21
"칠곡군",3.78,4.70,7.42,7.18,6.15,7.73,11.08,15.95,15.15,19.20,22.28,22.94,24.42
"예천군",3.73,5.75,5.89,5.97,6.14,8.33,6.34,8.50,12.88,17.38,17.55,17.74,17.91
"봉화군",2.54,2.66,2.73,2.81,2.85,8.66,17.49,17.36,11.70,14.73,14.75,17.64,17.75
"울진군",3.28,3.41,1.76,1.82,3.71,3.77,5.71,5.72,3.84,5.79,5.77,5.76,7.71
"울릉군",-,-,-,9.77,-,9.83,19.37,18.69,18.62,18.74,19.00,19.49,19.70
"경상남도",2.77,2.99,3.51,4.25,5.16,6.14,7.32,8.97,9.28,7.32,9.69,9.88,9.75
"경남 창원시",1.96,1.77,1.98,2.78,3.57,4.37,5.17,-,-,-,-,-,-
"경남 마산시",3.49,4.21,4.71,4.98,5.29,5.11,5.66,-,-,-,-,-,-
"진주시",1.48,1.48,2.68,2.70,3.63,3.62,3.92,5.37,6.86,1.19,7.71,7.35,7.26
"경남 진해시",2.00,2.64,2.55,3.10,4.29,5.93,5.83,-,-,-,-,-,-
"통영시",2.25,3.01,3.01,4.51,4.46,5.87,9.46,9.98,8.56,5.74,10.02,9.32,9.34
"사천시",3.49,3.55,3.59,3.56,5.33,6.20,7.98,14.89,13.14,3.47,13.69,15.45,15.59
