"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"나주시",5.90,6.04,6.12,6.22,6.29,6.46,8.80,8.88,7.93,9.08,11.40,12.13,12.22,11.50
"광양시",2.20,2.18,2.90,2.89,4.32,4.24,4.18,4.12,4.64,4.64,4.62,4.60,4.56,4.50
"담양군",3.93,3.95,3.97,3.97,9.91,10.34,10.57,10.46,12.55,14.70,14.78,12.72,14.89,16.94
"곡성군",11.33,11.63,11.71,11.89,15.01,15.33,15.58,15.68,19.15,19.43,19.35,19.52,19.56,19.74
"구례군",9.83,9.92,10.14,10.40,10.64,10.83,10.90,10.96,10.94,11.08,11.06,14.72,18.31,21.89
"고흥군",3.28,4.61,4.77,6.17,7.63,7.83,7.99,8.12,11.02,11.18,11.33,11.49,11.66,11.82
"보성군",8.93,9.21,9.41,9.63,11.78,14.00,14.27,14.35,16.70,17.00,17.25,17.44,19.85,20.24
"화순군",1.31,1.33,1.36,2.75,4.19,4.27,4.31,4.32,5.80,7.31,8.85,10.48,9.11,10.72
"장흥군",2.09,6.44,6.59,6.75,6.90,7.01,11.88,11.79,11.75,11.72,13.95,13.89,13.79,12.29
"강진군",4.47,4.59,4.68,7.15,12.09,12.15,14.58,14.41,14.42,17.40,19.96,20.07,20.64,26.49
"해남군",4.45,4.56,4.64,4.74,7.27,7.40,9.86,10.05,8.93,10.24,11.59,11.69,11.81,13.31
"영암군",12.64,12.83,12.90,13.00,18.11,18.30,20.05,19.97,18.29,20.00,22.01,22.09,20.64,21.04
"무안군",7.85,8.00,8.08,8.10,7.85,7.51,8.29,8.06,7.92,9.24,10.08,9.79,9.73,8.53
"함평군",2.37,4.97,4.98,7.76,7.90,13.36,16.18,16.35,13.84,13.97,16.85,17.10,14.34,14.54
"영광군",3.12,3.18,3.25,3.33,5.10,5.17,8.77,8.72,8.79,8.74,8.68,10.56,10.66,10.79
"장성군",1.94,1.99,4.07,4.18,8.44,8.58,8.66,8.60,8.65,12.96,12.96,17.29,17.26,17.35
"완도군",4.91,5.00,5.10,5.22,7.12,7.27,9.21,9.21,11.10,11.14,11.19,11.28,11.32,11.39
"진도군",10.42,10.72,10.95,11.13,11.36,11.62,20.63,20.75,17.91,21.08,24.24,27.48,27.71,28.06
"신안군",3.94,4.20,4.31,4.28,10.88,10.94,11.04,11.01,11.27,13.67,11.32,13.72,13.86,14.07
"경상북도",3.42,4.04,4.31,4.46,5.71,6.02,6.52,6.47,6.45,6.67,6.82,7.15,7.25,7.22
"포항시",1.77,1.97,2.37,2.38,1.98,2.16,3.14,3.11,2.90,3.08,3.47,3.85,3.85,3.68
"경주시",3.56,4.68,4.73,4.75,5.14,5.57,5.61,5.62,6.40,6.82,5.32,6.12,7.31,7.32
"김천시",3.99,4.18,4.24,5.01,4.31,4.35,5.15,5.14,4.41,4.43,5.91,5.91,5.71,5.62
"안동시",5.69,5.75,5.83,5.93,8.34,10.16,10.75,10.72,9.51,9.51,9.50,10.08,10.05,9.48
"구미시",1.97,2.19,2.14,2.07,2.30,2.28,2.52,2.47,2.42,2.40,2.62,2.62,2.62,2.62
"영주시",3.23,4.94,5.88,5.98,5.21,5.27,6.18,6.14,6.13,7.05,8.88,9.93,9.11,9.15
"영천시",1.78,2.74,3.73,3.81,5.67,5.77,5.82,5.81,5.76,6.88,6.95,6.95,6.95,6.96
"상주시",2.60,3.55,3.62,4.62,8.44,8.54,9.42,9.47,8.60,8.64,8.71,8.75,8.79,9.82
"문경시",8.61,12.57,12.81,13.13,14.71,15.90,16.96,16.80,16.94,17.13,14.54,18.44,17.15,17.40
"경산시",3.70,4.10,3.95,3.83,4.64,4.63,5.07,4.99,4.51,4.47,4.82,5.12,5.45,5.43
"군위군",6.72,6.94,7.22,7.49,23.27,23.71,20.03,20.21,20.60,20.73,20.69,20.69,20.72,20.69
"의성군",2.93,3.02,3.10,3.18,6.52,6.66,6.77,6.80,6.93,8.77,10.70,10.87,11.01,11.11
"청송군",6.39,6.64,10.24,10.54,14.36,14.66,18.58,18.72,18.82,18.88,22.67,26.46,26.53,26.61
"영양군",14.44,14.85,14.98,20.39,41.84,47.96,53.90,54.20,43.86,43.94,27.33,27.48,27.94,28.23
"영덕군",4.26,6.55,6.67,8.61,9.20,9.37,9.59,9.67,9.81,9.94,9.96,10.10,10.21,7.68
"청도군",1.99,2.10,2.14,2.17,8.79,8.95,9.03,9.01,9.03,9.10,11.42,11.37,11.44,11.48
"고령군",5.72,5.79,8.75,8.63,14.32,11.50,11.58,11.53,14.10,14.15,14.21,11.42,11.56,14.60
"성주군",6.17,6.29,6.39,6.47,8.76,8.88,6.58,6.62,8.76,8.86,8.88,8.89,8.88,8.85
"칠곡군",2.83,2.82,2.78,2.69,2.64,2.58,3.41,3.36,4.21,5.01,6.60,5.73,5.70,5.68
"예천군",3.73,3.84,3.93,3.98,8.19,8.33,8.46,8.50,8.59,10.86,10.97,11.09,11.19,13.00
"봉화군",2.54,5.33,5.46,5.62,11.41,11.55,11.66,11.57,11.70,11.79,11.80,11.76,11.83,11.93
"울진군",3.28,5.12,7.05,7.26,7.41,9.43,9.52,9.54,13.45,13.50,13.47,13.43,13.49,13.53
