행정구역별,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
영덕군,80.4,81.5,81.8,83.5,83.8,84.3,84.5,87.3,87.5,88,88.6,88.5
청도군,39.1,44.1,41.8,45.9,49.6,53.1,52.9,56.1,59.7,60,64.7,71.4
고령군,52.5,61.7,61.7,63.1,66.2,76.6,82.5,82.7,84.8,86.4,88.9,90.7
성주군,28.3,29.1,29.4,30.5,31.4,33.7,37.7,41.1,49.5,59.7,67.7,73.3
칠곡군,72.1,74.7,76.9,79.4,82.4,83.8,85.7,85.9,86.4,86.4,88.9,90.4
예천군,48.3,48.7,53.5,56.3,57.4,58.4,61,62.1,69.3,73,74.3,77.9
봉화군,39,39.5,38.7,39.4,45.5,45.5,45.9,46.7,50,55.3,56.2,62.6
울진군,59.3,59,58.7,60.5,63.1,63.7,64.3,63.8,64.2,65.8,68,67.7
울릉군,83,83.7,83.8,83.9,84.3,84.5,85.1,83.1,83.6,85.1,86.3,86
경상남도,81.4,82.6,84.1,84.9,85.9,87.2,88.8,89.7,90.4,91.7,92.4,93.1
경남 창원시,92.9,93.1,93.5,94.3,94.5,95.1,-,-,-,-,-,-
경남 마산시,94.8,95.2,95,95.3,95.6,95.9,-,-,-,-,-,-
진주시,91.5,92.6,93.9,95.2,95.9,97.3,98.1,98.5,99,99.5,99.8,99.9
경남 진해시,95,95.5,97.2,97.6,98.5,98.7,-,-,-,-,-,-
통영시,84.5,84.1,88.7,91.8,92,92.5,93.2,94.7,96.5,98.1,98.3,98.7
사천시,84.9,86.4,87,89.9,92,92.5,92.8,93.5,93.6,93.8,94.3,94.9
김해시,89.7,89.9,91.3,91.9,92.5,93.3,94,94.5,95.6,96.8,97.1,97.4
밀양시,55,55.3,60.5,62.5,63.6,67.3,68.9,70.6,71.1,74.5,77.2,78.8
거제시,85.5,87.6,88.7,88.9,90.9,92.6,93.2,93.7,94.8,96.6,96.6,96.8
양산시,75.8,78.9,81.3,82.4,83.1,85.2,88.2,90,90.6,91.5,93.6,95.4
창원시,-,-,-,-,-,-,97.5,97.7,97.7,97.9,98.1,98.2
의령군,37.1,38.2,38.5,39.5,39.8,42.3,46.2,46.9,49.2,65.5,65.8,67.1
함안군,63.2,67.9,69.6,71.1,76,79,82.6,83.5,84.7,85.9,87.5,91.2
창녕군,60.7,64.8,67,68.9,70.4,75.3,85.1,89.8,91.9,93,96.2,97.7
고성군,55.9,56.1,58.4,58.5,61,63,66.8,68,68.3,72.2,72.8,77.3
남해군,39.8,40.4,42.5,43.6,44.4,47,48.7,54.4,56.4,59.5,62.3,65.4
하동군,38.9,44,45.8,43.5,44,47.9,46.3,49.1,49.9,51,51.8,53.8
산청군,28.5,29,31.4,32.1,32.9,33.3,38.3,42,41.4,45.4,45.6,45.6
함양군,44.4,46.7,48.8,50.1,49.8,50.1,51.3,51.9,52.5,54.7,55.6,57
거창군,59.7,60.2,62.4,62.1,62.2,62.5,62.6,67.6,68.3,73.7,74.5,74.6
합천군,29.4,30.5,30.3,32.8,33.6,35.1,39.2,39.2,40.2,46.3,47.2,47.4
제주특별자치도,100,100,100,100,100,100,100,100,100,100,100,100
제주시,100,100,-,-,-,-,-,100,100,100,100,100
서귀포시,100,100,-,-,-,-,-,100,100,100,100,100
