"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"의왕시",7.83,1.48,0.23,-5.13,-2.25,-0.34,4.68,4.66,1.43,3.38,3.22,-0.70,-0.48,-0.71
"하남시",1.56,1.26,1.97,1.73,1.85,4.66,3.34,1.27,-1.37,-1.52,-0.75,2.64,11.83,26.40
"용인시",10.24,11.32,8.07,10.80,4.60,2.17,2.74,4.41,2.22,2.04,2.78,2.19,1.59,1.57
"파주시",2.70,3.67,5.90,12.13,3.85,2.49,3.79,9.87,6.33,3.84,2.00,2.53,2.98,1.84
"이천시",1.03,0.06,0.73,1.36,1.03,0.81,0.45,2.80,1.02,0.15,0.59,0.12,0.11,2.73
"안성시",3.15,1.89,2.05,2.26,2.91,4.05,0.99,4.45,1.84,0.34,0.68,0.39,-0.79,1.74
"김포시",7.81,2.45,-0.83,1.24,-0.29,6.85,2.50,5.52,7.38,11.13,8.83,9.33,3.06,3.95
"화성시",8.03,14.73,8.31,6.04,19.29,20.08,9.21,3.33,2.16,1.25,1.36,2.58,10.02,7.25
"광주시",11.54,7.34,3.80,4.17,3.54,2.52,1.61,4.61,5.95,3.62,4.08,4.49,4.64,4.87
"양주시",-,2.81,4.60,5.87,5.78,-0.15,1.32,7.89,1.68,-0.26,-0.48,1.54,1.40,0.18
"포천시",-,-0.02,2.50,1.76,0.65,1.39,-0.26,0.48,-0.09,-0.45,-0.14,0.00,-0.32,-0.05
"여주시",-,-,-,-,-,-,-,-,-,-,-,1.20,0.67,0.51
"경기 여주군",0.18,-0.06,0.26,0.94,2.20,0.76,0.77,1.28,-0.05,0.26,-,-,-,-
"연천군",-0.92,-1.65,-3.27,-2.15,-0.99,-0.21,-0.35,-0.06,-0.69,1.47,0.09,-0.47,1.00,0.58
"가평군",-0.56,-0.29,0.21,0.31,1.66,2.70,0.96,2.35,0.73,2.37,0.40,0.41,1.28,0.68
"양평군",1.18,1.27,1.05,1.10,1.94,2.44,1.74,4.78,3.80,2.68,1.49,1.81,2.82,2.82
"강원도",-0.67,-0.31,-0.49,-0.36,0.01,0.37,0.27,1.18,0.40,0.11,0.27,0.21,0.37,0.13
"춘천시",0.33,0.47,0.35,0.63,0.92,1.58,1.12,1.95,1.07,0.17,0.44,0.54,0.78,1.05
"원주시",1.45,1.46,1.38,2.13,1.64,1.74,1.28,2.20,1.87,1.02,0.32,0.84,1.79,1.52
"강릉시",-0.27,-0.76,-1.20,-0.93,-0.63,-0.90,-0.47,0.48,-0.44,0.06,-0.41,-0.41,-0.52,-0.28
"동해시",-0.98,-0.96,-1.49,-1.62,-0.75,-0.99,-0.41,-0.06,0.59,-2.00,1.35,-0.53,-0.68,-0.63
"태백시",-2.15,-1.22,-1.44,-1.60,-0.14,-0.80,-1.08,0.75,-1.32,-1.35,-1.40,-1.04,-1.58,-0.93
"속초시",-1.09,-1.20,-0.91,-1.03,-0.67,-0.88,-0.92,0.55,-0.64,-0.25,-0.56,-0.73,-0.26,-0.37
"삼척시",-2.08,-1.80,-1.53,-1.70,-1.29,0.25,1.40,0.21,0.36,0.47,0.80,-1.14,-1.93,-1.63
"홍천군",-1.47,0.81,-1.37,-0.94,0.39,0.33,-1.26,0.88,-0.21,-0.47,1.36,-0.15,-0.14,-0.28
"횡성군",-1.82,-0.09,-1.27,-1.15,0.72,0.56,1.43,0.41,0.06,0.50,0.86,1.14,0.97,0.45
"영월군",-2.66,-3.43,-1.96,-2.41,-0.44,-0.30,0.12,0.38,-0.47,-0.10,-0.10,0.13,0.02,-0.32
"평창군",0.40,-2.25,-0.57,-1.39,-0.65,-0.54,-0.17,-0.11,-0.09,0.03,0.19,0.12,-0.16,-0.45
"정선군",-9.62,-1.57,-2.70,-2.18,-3.19,-1.18,-1.33,1.05,-2.21,-0.68,0.17,-1.38,-0.63,-1.29
"철원군",-0.46,-1.07,-1.48,-1.84,-1.12,0.73,-0.02,2.93,-1.80,-0.22,-0.85,0.29,2.54,-1.46
"화천군",2.01,-1.12,-2.19,-1.53,-1.49,5.09,0.39,0.95,2.13,0.25,0.34,8.20,-0.44,-2.72
"양구군",-2.10,-1.15,-1.16,-0.88,0.69,-0.32,0.00,3.04,1.75,2.09,3.42,1.33,0.77,-0.27
"인제군",-0.98,1.17,1.14,-0.96,-0.93,-1.26,-0.65,1.48,0.39,1.46,0.18,-0.06,2.41,-1.60
"고성군",-2.81,-1.02,-1.12,-1.64,-2.68,-0.19,0.22,-0.61,-0.42,0.10,0.74,0.06,-0.85,0.82
"양양군",-1.42,-1.28,-0.05,-1.47,-0.75,-1.23,-0.53,0.21,-0.04,-0.68,-0.46,-0.49,-0.08,-0.90
"충청북도",-0.06,0.00,0.07,0.68,1.02,0.98,0.51,1.54,0.93,0.11,0.61,0.59,0.43,0.65
"충북 청주시",1.81,1.52,1.16,-0.51,1.23,0.91,0.68,2.03,0.97,0.70,0.96,-,-,-
"충주시",-1.27,-0.77,-0.66,-0.45,0.39,0.86,0.13,1.06,0.03,0.02,-0.01,0.39,-0.11,0.52
"제천시",-1.70,-1.28,-0.35,-0.95,-0.04,-0.23,-0.19,1.32,0.31,-0.18,-0.24,-0.24,-0.49,0.35
"청주시",-,-,-,-,-,-,-,-,-,-,-,0.52,0.11,0.47
"충북 청원군",-1.11,-1.17,0.12,14.38,5.21,3.55,1.04,2.17,3.71,-2.35,0.24,-,-,-
"보은군",-3.48,-2.26,-2.18,-2.02,-2.57,-0.91,-0.65,0.33,-0.61,-0.85,-0.25,-0.21,0.23,-0.14
"옥천군",-1.51,-1.41,-1.66,-1.06,-0.52,-0.14,-0.69,-0.11,-0.91,-0.58,-0.83,-0.43,-0.08,-0.28
"영동군",-3.01,-2.54,-1.36,-1.84,-1.28,0.37,0.32,0.13,0.30,0.08,-0.21,0.56,-0.21,-0.28
"진천군",1.15,1.34,-0.57,0.88,0.28,1.15,1.29,1.63,1.46,0.25,2.48,1.93,4.72,3.36
"괴산군",-3.06,-2.05,-2.43,-2.48,-1.70,-0.65,0.56,0.35,1.42,1.01,0.94,0.85,1.22,0.69
"음성군",0.27,-0.09,0.23,2.01,2.62,1.76,0.46,1.73,0.81,1.33,1.70,2.85,1.48,2.02
"단양군",-4.18,-2.46,-1.69,-2.13,-2.79,-1.42,-0.29,-0.12,-0.70,-1.19,-0.29,-0.68,-0.57,-0.81
"증평군",-,-1.28,-0.87,-0.10,2.17,3.34,3.00,1.24,1.45,0.83,0.95,0.92,5.38,1.98
"충청남도",0.60,2.20,0.50,0.93,1.26,1.37,1.04,2.07,1.47,-3.46,1.09,0.92,0.82,1.07
"천안시",3.87,10.16,1.78,2.39,1.80,1.28,0.69,3.39,2.72,1.73,1.82,1.37,1.29,2.08
"공주시",-0.93,-0.48,-0.42,-0.56,-0.99,-0.92,-0.67,0.57,-0.18,-6.19,-0.77,-2.41,-2.02,-1.07
"보령시",-2.46,-1.33,-0.70,-0.10,0.24,-0.55,-0.04,0.67,-0.56,-0.76,-0.40,-0.29,0.54,-0.73
"아산시",1.90,4.16,1.65,4.16,4.93,9.00,6.44,3.87,3.96,2.21,2.54,2.74,1.24,2.07
"서산시",2.55,-1.05,0.26,0.66,1.91,2.38,1.48,1.13,0.79,1.14,1.65,1.17,1.64,0.60
"논산시",-1.07,-0.03,-0.95,-1.77,-1.09,-0.95,-0.40,0.55,0.31,-0.60,-0.74,-0.69,-0.27,-0.56
"계룡시",-,0.43,10.17,7.28,2.60,9.65,3.28,0.76,-0.36,-3.27,-1.43,-0.96,2.96,2.19
"당진시",-,-,-,-,-,-,-,-,-,-,3.09,2.42,1.41,0.95
